App,Average_Sentiment_Polarity
BaBe+ - Berita Indonesia,0.365625
Basketball Stars,0.014112227462217308
Davis's Drug Guide for Nurses,0.3148148148148148
Bloomberg Professional,-0.02335272366522368
Bagan - Myanmar Keyboard,0.29807882977237815
Candy Pop Story,0.04241514756944446
Cricbuzz - Live Cricket Scores & News,0.09701201393635604
"AOL - News, Mail & Video",0.09218199309108399
Arrow.io,0.08073817355889723
CALCU™ Stylish Calculator Free,0.3525981620718463
BELONG Beating Cancer Together,0.3505828729019519
Bubble Shooter,0.25657887468434337
All-in-One Mahjong 3 FREE,0.5
Amazon Shopping,0.1931399829502508
Basketball FRVR - Shoot the Hoop and Slam Dunk!,0.10246428571428572
"CM Launcher 3D - Theme, Wallpapers, Efficient",0.28247895622895625
ColorFil - Adult Coloring Book,0.18612149019961519
A+ Mobile,0.329592261904762
Blood Donor,0.20470096032831
Buienradar - weer,0.07095975154339125
Calculator with Percent (Free),0.03197278911564626
2GIS: directory & navigator,0.21856189954051794
Alarm Clock,0.17466728294853298
Barbie Life™,0.16261297182349813
Baseball Boy!,0.012272397197141408
BBVA Spain,0.515085705540251
Banco Itaú,0.10414846301359458
Colorfy: Coloring Book for Adults - Free,0.046784878791172414
7 Minute Workout,0.41027777777777774
8 Ball Pool,0.001252007160673396
BBC News,0.09699904372523421
CMB Free Dating App,0.2867531546361775
Championat,0.20270756958256958
Cooking Fever,-0.04016934232731521
Cricket Visual Voicemail,0.06285360542409414
4K Wallpapers and Ultra HD Backgrounds,0.17932800224466894
BEST CAR SOUNDS,0.30769860769860763
Christian Dating For Free App,0.09014036031917048
Cool Popular Ringtones 2018 🔥,0.20348488136574072
Diabetes:M,0.31796790353521126
All Email Providers,0.21500000000000002
Birdays – Birthday reminder,0.35306842055003823
Clash Royale,0.07779672882054732
Brilliant,0.2714616147741148
Choice Hotels,0.2987896825396825
Blur Image Background Editor (Blur Photo Editor),0.23310994560994563
Cut the Rope 2,0.14827543557265785
BankMobile Vibe App,0.3534545768241421
"BuzzFeed: News, Tasty, Quizzes",0.20621949774934856
"CBS Sports App - Scores, News, Stats & Watch Live",0.1604966814845848
"Calm - Meditate, Sleep, Relax",0.293777173789929
Boys Photo Editor - Six Pack & Men's Suit,0.28350877192982454
Accounting App - Zoho Books,0.44866448692152916
Air Traffic,0.29464074593335954
Burner - Free Phone Number,0.0653009259259259
Brightest Flashlight Free ®,0.4925714285714286
Chrome Dev,0.3549579124579125
Brain Waves - Binaural Beats,0.22173148899711398
DIY On A Budget,0.4592651191039864
Box,0.4063163116123642
Device Help,0.08598569882498455
"AVG Cleaner – Speed, Battery & Memory Booster",0.27299416433239954
Cheapflights – Flight Search,0.42191239316239304
DMV Permit Practice Test 2018 Edition,0.29566032132549985
Call Blocker,0.027972582972582965
Brightest LED Flashlight,0.3741989087301587
CIA - Caller ID & Call Blocker,0.21781462585034012
Candy Crush Jelly Saga,-0.09233435751843289
591房屋交易-租屋、中古屋、新建案、實價登錄、別墅透天、公寓套房、捷運、買房賣房行情、房價房貸查詢,0.08079241071428571
ABC News - US & World News,-0.026873667683326788
Anime Avatar Creator: Make Your Own Avatar,0.20215771508819977
Cooking Channel,0.37359838991417943
Bank of America Mobile Banking,0.16871843262557548
Blogaway for Android (Blogger),0.19725448933782266
"CheapTickets – Hotels, Flights & Travel Deals",0.2941989422458173
Android Messages,0.0780101948591532
Brit + Co,0.12312466179653679
"CM Flashlight (Compass, SOS)",0.55625
Brasileirão Pro 2018 - Série A e B,0.5508720238095239
Contacts,0.006273450146218002
Diamond Zipper Lock Screen,0.15973039215686274
Dictionary - Merriam-Webster,0.23873106060606056
AT&T Visual Voicemail,0.020353849049501237
Advanced Task Killer,0.13885152116402116
Anger of stick 5 : zombie,0.11944444444444442
Alto's Adventure,0.03654807704950847
Banfield Pet Health Tracker,0.07034832911034836
850 Sports News Digest,0.5428597480561768
ANA,-0.024488324175824177
C Programming,0.2758730440566379
ColorNote Notepad Notes,0.27481675121467364
Angry Birds Classic,-0.017852232400636884
BetterMe: Weight Loss Workouts,0.28789408170918596
CVS Caremark,0.19190802253302255
Comedy Central,0.18626208039036984
AutoCAD - DWG Viewer & Editor,0.13079615027829314
CATS: Crash Arena Turbo Stars,0.03323567040984197
Discover Mobile,-0.041666666666666664
Animated Photo Editor,0.29185714285714287
Backgrounds HD (Wallpapers),0.3538759018759018
BukuBayi - Perkembangan Bayi,0.31515734265734263
"Calculator - free calculator, multi calculator app",-0.03749999999999999
Canvas Student,0.125
Checkout 51: Grocery coupons,0.13048614579864576
ABC Kids - Tracing & Phonics,0.36777017277017277
Alfred Home Security Camera,0.3375742424242425
Block Puzzle Classic Legend !,0.15090698653198653
Be A Legend: Soccer,-0.10027380239866722
C++ Programming,0.1964510494328203
"CM Browser - Ad Blocker , Fast Download , Privacy",0.012500000000000011
Barbie™ Fashion Closet,0.04860028860028859
"All Football GO- Live Score, Games",0.5265151515151514
Birds Sounds Ringtones & Wallpapers,0.34155701754385975
2ndLine - Second Phone Number,0.17330072705072705
Cameringo Lite. Filters Camera,0.7702690972222221
Citizens Bank Mobile Banking,0.0049950396825396825
CW Seed,0.3055693342151675
Digital Alarm Clock,0.34107329093987326
Bike Computer - GPS Cycling Tracker,0.28197840354090353
CBS News,0.0
Apk Installer,0.19391694725028052
"AD - Nieuws, Sport, Regio & Entertainment",0.14581384554598842
All Events in City,0.5028597402597402
Daum Mail - 다음 메일,0.266
Beautiful Design Birthday Cake,0.2703075396825396
"BestCam Selfie-selfie, beauty camera, photo editor",-0.037985810485810484
Calendar Widget Month + Agenda,0.15000000000000002
Checkers ✔️,0.06483468113676447
DEAD TARGET: FPS Zombie Apocalypse Survival Games,0.06774213534884266
AMC Theatres,0.13569444444444442
Crossy Road,0.21617658376275803
Daniel Tiger for Parents,0.38333333333333336
"Cymera Camera- Photo Editor, Filter,Collage,Layout",0.419417735042735
Bubble Shooter Genies,0.04798845598845597
Cheap hotel deals and discounts — Hotellook,0.2564173789173789
Daily Workouts - Exercise Fitness Routine Trainer,0.8
ARY NEWS URDU,0.24342580213903742
Candy Crush Saga,0.02716362264278928
ABCmouse.com,0.18250385802469138
Browser 4G,0.3370836118538324
Chase Mobile,0.04651444628888238
Barcode Scanner,0.3862701337701337
CityMaps2Go Plan Trips Travel Guide Offline Maps,0.31709577922077925
Anatomy Learning - 3D Atlas,0.2265324499959917
"All-In-One Toolbox: Cleaner, Booster, App Manager",0.26733509335782063
2RedBeans,0.41219917902610204
BeWild Free Dating & Chat App,0.18488784074721576
AirBrush: Easy Photo Editor,0.3520497384559884
Amazon Drive,0.1298491985987103
Build a Bridge!,0.0892837513793396
CNN Breaking US & World News,0.06184202072219429
Despegar.com Hoteles y Vuelos,0.2706699039264829
Beautiful Widgets Pro,0.1652967512732606
Butterfly Live Wallpaper,0.3902759740259741
AT&T Smart Wi-Fi,0.1895487012987013
All Video Downloader 2018,0.3826797385620915
Couch to 10K Running Trainer,0.33737879109977326
Couple - Relationship App,0.30442296156254967
Apple Daily 蘋果動新聞,0.08276605928566715
Caf - Mon Compte,0.1
Choices: Stories You Play,0.033678402338611614
AutoScout24 Switzerland – Find your new car,0.41695141570141575
Credit Karma,0.27005168006596575
DRAGON BALL LEGENDS,0.10096047806471783
Amex Mobile,0.16433297258297258
Calls Blacklist - Call Blocker,0.12416233766233768
A Call From Santa Claus!,0.001835235471599124
Cinemark Theatres,0.07015540674603174
Colorful Glitter Neon Butterfly Keyboard Theme,0.20640625
Animal Planet GO,0.27357142857142863
Cisco Webex Meetings,0.10357702482702483
BBWCupid - BBW Dating App,0.12691173304809672
Bualuang mBanking,0.004322019211725115
Calculator - unit converter,0.18333333333333335
British Airways,0.20510616367759227
3D Live Neon Weed Launcher,0.5681818181818181
AirAsia,-0.10360630110630108
Detector de Radares Gratis,0.42858539310152216
Diary with lock,0.2857481516578841
"BÁO MỚI - Đọc Báo, Tin Tức 24h",0.10828208556149731
Chakra Cleansing,0.42473518668831184
COOKING MAMA Let's Cook!,0.2189220865113723
Call of Duty:Black Ops Zombies,-0.1621195023148148
Apartments.com Rental Search,0.07240305487588096
Archos File Manager,0.11529581529581533
"Breaking News, Local news, Attacks and Alerts Free",0.23238692397346244
Chapters: Interactive Stories,0.14888412151315375
ChatVideo Meet new people,0.23191982566982564
"Delivery Club–Доставка еды:пицца,суши,бургер,салат",0.06974513258480652
Anthem Anywhere,-0.09117487655573595
Blood Pressure,0.44494301994301994
Calls & Text by Mo+,0.4666666666666666
Acorns - Invest Spare Change,0.04666666666666667
Baby Panda’s Juice Shop,0.10833333333333332
Coloring book moana,0.15265151515151518
All Mental disorders,0.19561025161502582
Color by Number - Draw Sandbox Pixel Art,0.1395563554802685
Cool Reader,0.11383765106421355
Aviary Effects: Classic,0.10077219896402374
Bathroom Decorating Ideas,0.36267578124999994
Buzz Launcher-Smart&Free Theme,0.19662136304738345
Disney Heroes: Battle Mode,-0.0049999999999999975
"2Date Dating App, Love and matching",0.28026717026523523
Best Fiends - Free Puzzle Game,0.32499999999999996
Allrecipes Dinner Spinner,0.27890692640692644
"Baca- Berita Terbaru, Informasi, Gosip dan Politik",0.2440754132231405
DELISH KITCHEN - 無料レシピ動画で料理を楽しく・簡単に！,0.3872722222222223
Amino: Communities and Chats,0.047589604351513645
Contacts+,0.3978467340967341
"AT&T Navigator: Maps, Traffic",0.07130096542927516
Beautiful Widgets Free,0.013460700757575767
Calorie Counter - Macros,0.24351839550913634
Dating for 50 plus Mature Singles – FINALLY,0.3325396825396825
CBS Sports Fantasy,0.24850236370438397
CNBC: Breaking Business News & Live Market Data,0.24770376373317554
Diabetes & Diet Tracker,0.3636273107523107
DigiCal Calendar Agenda,0.16912623256373258
Banorte Movil,0.116998667998668
Best Wallpapers QHD,0.4722514455782313
"BigOven Recipes, Meal Planner, Grocery List & More",0.32822240259740265
Branch,0.264229797979798
"CallApp: Caller ID, Blocker & Phone Call Recorder",0.3907407407407408
ColorSnap® Visualizer,0.024391025641025646
Cooking Madness - A Chef's Restaurant Games,0.01355064498200659
Bancomer móvil,-0.06942138879638879
Barbie Magical Fashion,0.08473276471512357
Color Flashlight,0.17583333333333337
Czech Public Transport IDOS,0.25728755812089144
Backgrounds (HD Wallpapers),0.26443175805675806
Caviar - Food Delivery,0.20993727512436391
Airway Ex - Intubate. Anesthetize. Train.,0.2209419009809635
App vault,-0.06071181048768939
Associated Credit Union Mobile,0.3880928287981859
BeSoccer - Soccer Live Score,0.35676847843514514
Chrome Beta,0.23162517246398825
DashClock Widget,0.033333333333333326
AccuWeather: Daily Forecast & Live Weather Reports,0.2007233097577336
BIG Launcher,0.18406735358658435
Calendar+ Schedule Planner App,0.3190705128205128
Curriculum vitae App CV Builder Free Resume Maker,0.3937034821903243
ASUS SuperNote,0.1927914235522931
AC - Tips & News for Android™,0.09841655071119355
AppLock,0.0025861291486291523
Bangla Newspaper – Prothom Alo,0.16935307017543863
"Canva: Poster, banner, card maker & graphic design",0.20902442214942213
1800 Contacts - Lens Store,0.31814477362914867
ConnectLine,0.13801162883082527
Crunchyroll - Everything Anime,0.17599662033872557
"Any.do: To-do list, Calendar, Reminders & Planner",0.2162165569115904
BaBe Lite - Baca Berita Hemat Kuota,0.31442307692307697
"Chat Rooms, Avatars, Date - Galaxy",0.13805248558538036
BLK - Swipe. Match. Chat.,0.30767763519549235
BaBe - Baca Berita,0.18680555555555553
CDL Practice Test 2018 Edition,0.24112599206349203
Candy Smash,0.15726736111111111
Ada - Your Health Guide,0.29877289267824614
Coloring & Learn,0.41382226874003186
Cycling - Bike Tracker,0.3521468253968254
BBW Dating & Curvy Singles Chat- LargeFriends,0.18365956865956867
Cat Sim Online: Play with Cats,0.1752443616135023
All Language Translator Free,0.3927835497835497
BET NOW - Watch Shows,0.0510880756974507
Blogger,0.12426048126048127
Calorie Counter - MyNetDiary,0.3758419955914817
"Android Auto - Maps, Media, Messaging & Voice",0.298856785634528
CheckPoints 🏆 Rewards App,0.27933577996077996
AppLock - Fingerprint,0.20993951418951415
Battlelands Royale,0.040406194848324146
Business Calendar 2,0.22548625488842883
Candy Day,0.19246436403508768
95Live -SG#1 Live Streaming App,0.06900233100233101
Asteroids 3D live wallpaper,0.2535243974622641
Bloomberg: Market & Financial News,0.045851740851740846
Calorie Counter - MyFitnessPal,0.2188624354174375
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,0.39240456349206354
Angry Birds Rio,-0.03892425227990707
Dil Mil,-0.06348243861938715
Calorie Counter & Diet Tracker,0.2325672841208051
Binaural Beats Meditation,0.35351810515873006
Candy Bomb,0.32740319865319867
Candy Crush Soda Saga,-0.05707936571644754
ASUS Cover for ZenFone 2,0.07638888888888888
ASUS Sound Recorder,0.5167708333333333
Adobe Acrobat Reader,0.14386659267724236
Angry Birds 2,-0.0028110940842422305
Comptia A+ 220-901 & 220-902,0.5007922824302133
"Dailyhunt (Newshunt) - Latest News, Viral Videos",-0.06614583333333335
Azpen eReader,0.24262422360248448
BBVA Compass Banking,0.20559022446491657
Babbel – Learn Spanish,0.31331115430622014
Dinosaur Simulator: Dino World,-0.013141025641025646
365Scores - Live Scores,0.4383116883116883
"APUS Launcher - Theme, Wallpaper, Hide Apps",0.4474731182795699
American Airlines,-0.07902430627133009
Binaural Beats Therapy,0.2832687528520861
Cut the Rope FULL FREE,0.030012650121777097
Dashlane Free Password Manager,0.17075396825396827
Banco do Brasil,0.22347267316017314
Abs Training-Burn belly fat,0.21741882334004725
Baby Panda Care,0.17201893939393942
Credit Sesame,0.09732904411764702
Die TK-App – alles im Griff,0.15482677045177046
BEYBLADE BURST app,-0.013927395906562568
C++ Tutorials,0.5309259259259259
Beauty Camera - Selfie Camera,0.19999366181657852
Betterment,0.1494894334693326
All Football - Latest News & Videos,0.4320632947781386
Azar,0.06840380917580303
BBW Dating & Plus Size Chat,0.13367714846881512
Baby Tiger Care - My Cute Virtual Pet Friend,0.19518518518518518
CWT To Go,0.2867512531328321
DEER HUNTER 2018,-0.3833333333333333
Amazon for Tablets,0.09593268208399786
AdWords Express,0.1960374149659864
Amazon Kindle,0.06835490066647239
7 Cups: Anxiety & Stress Chat,0.39565476190476195
AP Mobile - Breaking News,0.18806172632344503
CreditWise from Capital One,0.23945429387863595
Buscapé - Ofertas e descontos,0.47083333333333327
Digit Save Money Automatically,0.2502463087507731
1LINE – One Line with One Touch,0.19629029961266795
Calculator Plus Free,0.16666666666666669
Black People Meet Singles Date,0.2522349304735668
Dairy Queen,0.18940972222222222
Block Puzzle,0.026311893041808868
Couch to 5K by RunDouble,0.27732642225499365
"Apartment List: Housing, Apt, and Property Rentals",0.46642287234042545
Atlan3D Navigation: Korea navigator,0.2781841981321148
BioLife Plasma Services,0.15243264411027568
Cougar Dating Life : Date Older Women Sugar Mummy,0.3199537100326573
AlReader -any text book reader,0.24555118492618497
"Amazon FreeTime – Kids’ Videos, Books, & TV shows",0.329079966554015
Anthem BC Anywhere,-0.12323348694316434
Blossom Blast Saga,-0.014537629445717666
Davis's Drug Guide,-0.10000000000000002
8fit Workouts & Meal Planner,0.2669168778244377
BeyondMenu Food Delivery,0.4087426900584794
Daily Yoga - Yoga Fitness Plans,0.25701764670514676
BeyondPod Podcast Manager,0.11245826529001753
Curso de Ingles Gratis,0.49990240240240236
All Maths Formulas,0.354636544011544
APE Weather ( Live Forecast),0.4323232323232322
Babbel – Learn Languages,0.39163615319865325
Color Touch Effects,0.11572042084377614
Cookbook Recipes,0.5654370380932882
DC Super Hero Girls™,0.334009024064171
Amazon Prime Video,0.46111111111111114
Diary with lock password,0.2898743153756523
Call Control - Call Blocker,0.0
Baby Panda Musical Genius,0.22776025213525217
Best Car Wallpapers,-0.13333333333333328
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,0.44956597222222217
ACE Elite,0.2567671130952381
Digg,0.04270031483667848
Aviary Stickers: Free Pack,0.06037589844018416
ABC Preschool Free,0.2296532738095238
Citibanamex Movil,0.1463349946836789
DC Comics,0.478809473705307
Age Calculator,0.1313830266955267
BZWBK24 mobile,0.32688255223037826
All Social Networks,-0.10641024212715389
BeautyPlus - Easy Photo Editor & Selfie Camera,0.3
Bukalapak - Jual Beli Online,0.007068156050298909
Cheap Flights & Hotels momondo,0.1803362573099415
Alarm Clock Free,0.1557617749897162
Booking.com Travel Deals,0.014540343915343925
4 in a Row,0.28114351851851843
Allegiant,0.2333333333333333
B612 - Beauty & Filter Camera,0.08178212791982328
Cache Cleaner-DU Speed Booster (booster & cleaner),0.27852109695859695
DStv Now,0.023143659003034008
Amtrak,-0.028284245516388386
Asphalt 8: Airborne,0.004450410725820941
Baby ABC in box! Kids alphabet games for toddlers!,0.29261904761904767
Bed Time Fan - White Noise Sleep Sounds,0.78125
21-Day Meditation Experience,0.2533046274712942
BBC Sport,0.16923671236171237
"DU Recorder – Screen Recorder, Video Editor, Live",0.22418691689058068
10 Best Foods for You,0.46815228886610466
ARY NEWS,0.23374426078971533
Badoo - Free Chat & Dating App,0.1317206404706405
Color Road,-0.06524135671584651
Cookpad,0.25743676847843516
Baby Panda Learns Shapes,0.24753700128700123
Banque Populaire,0.03232209245230079
Colorfit - Drawing & Coloring,0.17183595268250842
A Word A Day,0.2772727272727273
Baby puzzles,0.07949984276689925
591房屋交易-香港,0.22291666666666668
Banjo,0.22592043318523586
Beauty Makeup Snappy Collage Photo Editor - Lidow,0.1532142857142857
"Candy selfie - photo editor, live filter camera",0.37279761904761904
DU Browser—Browse fast & fun,0.1772660982370804
Ascape VR: 360° Virtual Travel,0.15096450617283952
Blood Pressure Log - MyDiary,0.33898768411268404
Ancestry,0.2702033683931625
Baby Name Together,0.2859856284856285
Acorn TV: World-class TV from Britain and Beyond,0.08997013560934015
Aprender inglés con Wlingua,0.3996215213358071
Claro,-0.07024420024420022
BluTV,0.28028073593073594
CM Locker - Security Lockscreen,0.2384902718663223
Dino War: Rise of Beasts,0.05913700974216848
7 Day Food Journal Challenge,0.18941137566137567
Best Ovulation Tracker Fertility Calendar App Glow,0.5953125
Bowmasters,0.06187281280039708
Color by Number – New Coloring Book,0.19260050762729336
Agoda – Hotel Booking Deals,0.4795306122448979
Content Transfer,0.16304728178360992
Citi Mobile®,-0.04870535714285714
Disney Magic Kingdoms: Build Your Own Magical Park,0.08702965526958686
Apex Launcher,0.10394090497708915
"Candy Camera - selfie, beauty camera, photo editor",0.195277920179236
Crew - Free Messaging and Scheduling,0.4173319523358586
DisneyNOW – TV Shows & Games,0.20399195939799683
"AliExpress - Smarter Shopping, Better Living",0.038380545534712214
AndroZip™ FREE File Manager,0.10725294771018457
"Best Wallpapers Backgrounds(100,000+ 4K HD)",0.30042929292929293
Calorie Counter - EasyFit free,0.34802871788058476
Baritastic - Bariatric Tracker,0.4182767368626745
"BiggerCity: Chat for gay bears, chubs & chasers",0.21167546399141793
DSLR Camera Hd Ultra Professional,0.07695175438596491
ASOS,0.31691663660413655
Akinator,-0.01934755145544766
Bubble Witch 3 Saga,0.0689067596452269
Clash of Clans,0.01811262994507972
Avakin Life - 3D virtual world,0.07798079073314099
Current debit card and app made for teens,0.3272583733540765
Airbnb,0.11523958692393996
Barclays US for Android,0.0179280039983165
Couchsurfing Travel App,0.2415162859801018
Baby Monitor,0.2853136671335201
Bible,0.3683235148640422
ASUS Quick Memo,0.029166666666666664
Anime Manga Coloring Book,0.36099076704545446
30 Day Fitness Challenge - Workout at Home,0.33353687339286425
Account Manager,-0.08763520281275962
Airport + Flight Tracker Radar,0.0892848124098124
BaconReader for Reddit,0.22808632290091627
Cisco Webex Teams,0.13162434178881546
Agar.io,-0.06817098792761672
Boxed Wholesale,0.28700849999248434
Debonairs Pizza,0.046527777777777814
Delta Dental,-0.0745691226941227
Bubble Shooter Space,0.18493055555555557
DIY Garden Ideas,0.44404411764705887
Asana: organize team projects,0.23064546308304862
BBM - Free Calls & Messages,0.15442325237386617
7 Weeks - Habit & Goal Tracker,0.13965589965589967
"Apartment, Home Rental Search: Realtor.com Rentals",-0.0037329004329004177
Big Days - Events Countdown,0.28541372721928276
Blur Image Background,0.372717803030303
A+ Gallery - Photos & Videos,0.2088149162103866
Apartment Decorating Ideas,0.245
Apartments & Rentals - Zillow,0.2929916863439591
BBC Media Player,-0.025809515610651965
CAIXA,-0.09926577155483404
11st,0.18129421446608945
"Dating App, Flirt & Chat : W-Match",0.3016666666666667
DINO HUNTER: DEADLY SHORES,0.022775251582496558
A&E - Watch Full Episodes of TV Shows,0.35388257575757576
Adobe Photoshop Express:Photo Editor Collage Maker,0.1905292027417028
ASUS Calling Screen,0.06316393097643097
Bad Piggies,0.008277521586156264
Bloglovin',0.13395250871813372
Bubble Shooter 2,0.2848484848484849
Caller ID +,0.35
Common Core,-0.008810779993815717
Add Text To Photo,0.22970324746060045
Blood Pressure(BP) Diary,0.08768325424575425
ConvertPad - Unit Converter,0.22344972943722938
Find&Save - Local Shopping,0.0898471363292792
Floor Plan Creator,0.2646154758654759
Happy Fruits Bomb - Cube Blast,0.023922799422799415
Google Earth,0.09490205492085191
Homework Planner,0.2775236133048633
Epocrates Plus,0.2995946969696969
File Explorer,0.25958281573498965
FilterGrid - Cam&Photo Editor,0.09263994537208826
Golf GPS Rangefinder: Golf Pad,0.27270448849396217
Football Live Scores,0.4050258891435362
Dog Licks Screen Wallpaper,0.22525030371997284
Dream League Soccer 2018,-5.180776014109637E-4
Drugs.com Medication Guide,0.24735357887601475
Food Calorie Calculator,0.09797280294231513
Dude Perfect 2,0.11588434200385582
Drawing for Kids Learning Games for Toddlers age 3,0.38666666666666666
Fast Scanner : Free PDF Scan,0.3130631605631605
"Fabulous: Motivate Me! Meditate, Relax, Sleep",0.19199594209527246
Domino's Pizza USA,0.21527787594114128
Dropbox,0.23633052505790997
"FIFA - Tournaments, Soccer News & Live Scores",0.06825822325822327
Fast Secure VPN,0.18243249587713867
Dr. Panda Town: Vacation,0.0928071500439664
DraftKings - Daily Fantasy Sports,0.31233355379188715
Evie Launcher,0.30006789204879486
Farm Heroes Saga,-0.011810531860815958
File Browser by Astro (File Manager),0.11199179292929294
Housing-Real Estate & Property,-0.021426982409125276
Home Street – Home Design Game,0.116342599766958
Home Security Camera WardenCam - reuse old phones,0.20145736208236212
Goldstar: Live Event Tickets,0.5492664141414142
Harkins Theatres,0.08864442831572626
Flightradar24 Flight Tracker,0.20195939812875294
Healthy Recipes Free,0.4033939116439117
Home Scouting® MLS Mobile,0.090935808982684
G Cloud Backup,0.2841919813902572
Google PDF Viewer,0.10041042117604619
Frontback - Social Photos,0.20709648569023564
Extreme Match,0.19446454876142383
Hotels.com: Book Hotel Rooms & Find Vacation Deals,0.10545615106694653
Funny Alarm Clock Ringtones,0.10838064006466784
Financial Times,0.18463979076479076
Gay Sugar Daddy Dating & Hookup – Sudy Gay,0.20321271929824555
Golfshot Plus: Golf GPS,0.38617936958874466
HD Camera Ultra,0.15469866870710122
DuraSpeed,-0.03702340869007535
Ecobank Mobile Banking,-0.01568968190678717
GPS Map Free,0.7
E*TRADE Mobile,0.15327341401364838
FOSSIL Q: DESIGN YOUR DIAL,0.2397669880624426
"Easy - taxi, car, ridesharing",0.29731052763661453
EasyBib: Citation Generator,0.08616044616044616
Gboard - the Google Keyboard,0.06690821694839556
Google Fit - Fitness Tracking,0.1300530303030303
El tiempo de AEMET,0.18751404349618636
Gems or jewels ?,0.14020820036445036
Hill Climb Racing 2,0.1621407674101838
Family Album Mitene: Private Photo & Video Sharing,0.4325875840980009
Free Sports TV,0.16731858265191601
FollowMyHealth®,0.18933498267256493
HTC Lock Screen,0.02984971899445584
English-Myanmar Dictionary,0.39351342371079207
Flickr,0.16601902279321637
Hacker's Keyboard,0.2659432123138465
Fancy Widgets,0.21421351453230514
Free Dating App & Flirt Chat - Match with Singles,0.33969696969696955
GANMA! - オリジナル漫画が全話無料で読み放題,0.2916704576785222
Garden Coloring Book,0.2684828944203944
Draw a Stickman: EPIC 2,0.09999999999999998
Facebook Pages Manager,-0.06108272854596383
"GolfNow: Tee Time Deals at Golf Courses, Golf GPS",0.16383993725790602
HTC Mail,0.07874792828699079
Home Workout for Men - Bodybuilding,0.5234495192307692
Flippy Campus - Buy & sell on campus at a discount,0.39528393175452
Essential Anatomy 3,0.21947755385255394
Galactic Core Free Wallpaper,0.24575742544492543
Dragon Hills,0.040340518278018274
"Eve Period Tracker - Love, Sex & Relationships App",0.5050367080835831
Extreme Racing 2 - Real driving RC cars game!,0.023667328042328035
"GO Keyboard - Emoticon keyboard, Free Theme, GIF",0.3074404215313306
Hotstar,0.023280336694795224
Draw Your Game,-0.6684895833333333
Fantasy Football,0.06258063293389379
"Hide Something - Photo, Video",0.24071023478835982
Horses Live Wallpaper,0.345458644890463
High-Powered Flashlight,0.3389572975023343
Dr. Panda & Toto's Treehouse,0.17852915958049884
Foursquare Swarm: Check In,-0.06233983927949447
GPS Traffic Speedcam Route Planner by ViaMichelin,0.2724778825671683
Droid Zap by Motorola,-0.02617970114680641
HTC Social Plugin - Facebook,-0.049845172844440434
"HelloTalk — Chat, Speak & Learn Foreign Languages",0.20232638888888888
FINAL FANTASY BRAVE EXVIUS,0.06491171618332545
"GPS Speedometer, Distance Meter",0.36889508928571424
HD Camera Pro for Android,0.07683823529411767
Flipp - Weekly Shopping,0.3236720779220779
GoodRx Drug Prices and Coupons,0.2524710424710424
Google Handwriting Input,0.2541081871345029
Genius Scan - PDF Scanner,0.24316067612942613
Dominos Game ✔️,0.023215534465534465
Gardenscapes,0.023963236034691224
HD Camera for Android,0.37619140624999997
Dosecast - Medication Reminder,0.3011536028723529
Golden Launcher,0.5070793460925039
Hello Stars,0.16833037194977488
Draw In,-0.13416666666666668
DroidAdmin for Android - Advice,0.1261752136752137
FlipaClip - Cartoon animation,0.41264880952380956
GoBank,0.043289792768959424
HTC Gallery,0.03154399543908471
Firefox Browser fast & private,0.10748703073354952
GO Notifier,0.08017169804101622
Down Dog: Great Yoga Anywhere,0.29430915942446084
Extreme Car Driving Simulator,-0.4
Fake Call - Fake Caller ID,0.2977941730740238
Flipboard: News For Our Time,0.38586500305250304
Free Foreclosure Real Estate Search by USHUD.com,-0.03241684492807541
"Gametime - Tickets to Sports, Concerts, Theater",0.3797400972400972
"FastMeet: Chat, Dating, Love",0.3441734006734006
